name,label,feature
0,tensor(0),"[0.5804728906762534, 0.1039691065284523]"
1,tensor(1),"[0.6027770977176823, -0.05897175879877696]"
2,tensor(2),"[0.6479636181086135, 0.9707505223827296]"
3,tensor(3),"[0.6142100525214522, -0.04242678481333484]"
4,tensor(4),"[0.7956340780631651, -0.06219876020838288]"
5,tensor(5),"[0.7021048128722437, 0.2645031286254994]"
6,tensor(6),"[-1.8393361574373008, -1.2660645744790429]"
7,tensor(7),"[0.9963584296866527, 1.4485767478237248]"
8,tensor(8),"[0.9327474562013474, 1.4900949756533606]"
9,tensor(9),"[-1.3624120122594592, -1.1732557069990652]"
10,tensor(10),"[-1.2623316404403961, -1.1793670996667782]"
11,tensor(11),"[-1.1982570533033903, -1.3787656925458533]"
12,tensor(12),"[0.6031608650708034, -0.04073163044576687]"
13,tensor(13),"[0.8000967926503691, 1.3166516867395075]"
14,tensor(14),"[-1.2715743002136788, -1.0758635729317585]"
15,tensor(15),"[0.645304591845231, -0.09537125426615863]"
16,tensor(16),"[0.5270620799050115, 1.0841378178180077]"
17,tensor(17),"[0.3384982320634942, 0.15788738535675842]"
18,tensor(18),"[-1.5225166336281362, -1.0821857036457134]"
19,tensor(19),"[0.7011885443860228, 1.302228399439144]"
20,tensor(20),"[0.6799691184798171, 1.1448425112059537]"
21,tensor(21),"[-1.1687440708916912, -1.2442805222936755]"
22,tensor(22),"[-1.5591587188453249, -1.3322640729540718]"
23,tensor(23),"[0.6943615775167373, 0.3188560847433319]"
24,tensor(24),"[-1.337786533998195, -1.3235879797515073]"
25,tensor(25),"[0.9806334333834139, 1.1402021080230162]"
26,tensor(26),"[-1.279261503235996, -1.2453810712291824]"
27,tensor(27),"[0.9208164907214459, 0.23317369812461072]"
28,tensor(28),"[-1.5396029764859473, -1.5157948043165685]"
29,tensor(29),"[0.6615803539517695, 1.2165194209260857]"
30,tensor(30),"[-1.5309738871244525, -1.4362593863329225]"
31,tensor(31),"[-1.4381064203782812, -1.4231406493979322]"
32,tensor(32),"[0.6863407659771928, 1.2384823949074166]"
33,tensor(33),"[-1.3735952853238376, -1.3070241641887845]"
34,tensor(34),"[0.4728689470557912, 0.0461330572205146]"
35,tensor(35),"[0.5905820235312521, 0.1315693400226402]"
36,tensor(36),"[-1.6053021530751437, -1.3145441523670516]"
37,tensor(37),"[-1.3145932895472747, -1.2418553634019514]"
38,tensor(38),"[0.6876870938444919, 0.07773241607143769]"
39,tensor(39),"[0.7369667149994983, 1.168580559743737]"
40,tensor(40),"[0.629510877713663, 1.1165944603874676]"
41,tensor(41),"[0.8845757935379961, -0.0762728543320243]"
42,tensor(42),"[0.7873676946702752, 0.03493444904697027]"
43,tensor(43),"[0.3914918244577129, 0.9923717574361678]"
44,tensor(44),"[0.6242442228721463, 0.04185973565313189]"
45,tensor(45),"[0.7825838445252653, 1.0222378862802153]"
46,tensor(46),"[0.7011519834538515, 1.1419938057379788]"
47,tensor(47),"[0.8329370005199175, 0.22745496768173695]"
48,tensor(48),"[-1.4045735735545224, -1.3514654903845842]"
49,tensor(49),"[0.35139566857899723, 1.1130993245232137]"
50,tensor(50),"[-1.6948623874892683, -1.2875887240360926]"
51,tensor(51),"[0.9104099222488213, -0.07011020375353363]"
52,tensor(52),"[0.7258592453304014, 1.4843641171995483]"
53,tensor(53),"[-1.4856393153847403, -1.4510827526940433]"
54,tensor(54),"[-1.5805874412931176, -1.073787642072293]"
55,tensor(55),"[-1.4439945976490607, -1.270047761227182]"
56,tensor(56),"[0.40419402553623074, 0.9424732973633779]"
57,tensor(57),"[0.80042411219006, 0.08081113131485353]"
58,tensor(58),"[0.6114077676665391, 1.2866825836380864]"
59,tensor(59),"[0.488223669045888, -0.09262594567707809]"
60,tensor(60),"[-1.1835827885543906, -1.2720444835061195]"
61,tensor(61),"[0.4410326303380835, 1.1070686616743486]"
62,tensor(62),"[-1.7393408776939732, -1.3044907768093492]"
63,tensor(63),"[0.617883617653111, 0.9919075830085837]"
